hash,msg,is_bugfix,n_files
5162e4745fca4b0d67da8ad6fe60f6a675b4a1e0,"Fixed the inevitable ReST bug in [137]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@138 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
081f2f8c8d0a8902f04dfcca3a83cd7eb7779bff,"Added 'Customize the admin change list' section to docs/tutorial02.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@139 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
069bd054fd4413a47f2f9ace620b01cbfa33ecba,"Fixed small formatting errors in [139]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@140 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
7ade7678196347224789a46c77b17df7f3f3ccb4,"Tiny tweaks to tutorial02.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@141 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
c9cc6f87f9fb77a3d12db1b5640ac465f80418c3,"Finished tutorial02 and added a link to it from tutorial01

git-svn-id: http://code.djangoproject.com/svn/django/trunk@142 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
a1ef6aa10b302d77855172dba62918becc6a758c,"Fixed mistake in tutorial01 -- it mentioned expiration date by mistake. Thanks for the pointer, Barryp!

git-svn-id: http://code.djangoproject.com/svn/django/trunk@143 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
0b62adddb241df9eb4d4e525e1952059615a5ebd,"Linked tutorial 2 to the admin CSS guide

git-svn-id: http://code.djangoproject.com/svn/django/trunk@144 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
136d78b86ed421126eb604e39527a5b90ec94974,"Fixed typo in template docs -- Thanks, Nicholas Riley and Robin Munn!

git-svn-id: http://code.djangoproject.com/svn/django/trunk@145 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
7e951c92f327db7193e58881ad08dbd3b07ba55f,"Changed tutorial01 to clarify how to set an environment variable in Windows. Thanks, JZ!

git-svn-id: http://code.djangoproject.com/svn/django/trunk@146 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
aef751972c426707ea6e1aee28a5ea8c94141fd0,"Fixed #43


git-svn-id: http://code.djangoproject.com/svn/django/trunk@147 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
ad8e55db9b0856573bfe740c350bfb39c7ca388e,"Added notes to documentation that MySQL support has not been comprehensively tested. Thanks, Simon!

git-svn-id: http://code.djangoproject.com/svn/django/trunk@148 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,3
7718319cbd5ebc5daa42f9b9edb98fb3c784d4db,"Fixed inevitable ReST bugs in [148]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@149 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,2
f87473e12dfe0beef028ae37b7eb453131050337,"Fixed inevitable ReST bugs in [149]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@150 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,2
